step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
18,C,participants_only,,,30,26,0,4,26,0,0.2753614583540804,0.22307071597571704,0.6890686030199212,0.02351880660167791,98,29,0.9666666666666667,0,0.0,0.0,25.266666666666666,573,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,C,nonparticipants_only,,,10,0,10,0,0,0,0.18173159760856777,0.13706055285031143,0.42252333543971676,0.007791966794227532,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,C,step_totals,,,,,,,,,,,,,,,,,,,,,78.90000000000009,19.5,0.24714828897338376,,,0.0,0.0,47.0,0.5956907477820018,0.013785866369469655,0.06382978723404255,0.0,0,3,7,59,39,,37,47,6.600000000000003,0.08365019011406838,5.8000000000000025,0.07351077313054494,33,29,42
19,C,all_agents,,,40,28,10,2,28,0,0.2564792759130488,0.20359303591052158,0.7015058588991244,0.022488441627059225,105,30,0.75,0,0.0,0.0,31.25,613,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,C,participants_only,,,30,28,0,2,28,0,0.2811802018178424,0.22583928593553299,0.7015058588991244,0.02501671538976302,105,30,1.0,0,0.0,0.0,25.0,613,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,C,nonparticipants_only,,,10,0,10,0,0,0,0.18237649819866805,0.13857084619726218,0.4204107187625182,0.007581991452298599,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,C,step_totals,,,,,,,,,,,,,,,,,,,,,85.40000000000009,19.0,0.22248243559718947,,,0.0,0.0,55.0,0.6440281030444958,0.014504982446974986,0.12727272727272726,0.0,0,7,13,29,38,,35,55,5.600000000000002,0.06557377049180324,5.8000000000000025,0.06791569086651049,28,29,35
20,C,all_agents,,,40,29,10,1,29,0,0.2600709492298583,0.20591534047164645,0.7134456245431594,0.023454393926900352,112,30,0.75,0,0.0,0.0,31.425,645,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,C,participants_only,,,30,29,0,1,29,0,0.2857556551884261,0.22584271587754284,0.7134456245431594,0.026174669563175264,112,30,1.0,0,0.0,0.0,25.233333333333334,645,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,C,nonparticipants_only,,,10,0,10,0,0,0,0.18301683135415486,0.13879212935786026,0.4183086651687056,0.007377117575938548,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,C,step_totals,,,,,,,,,,,,,,,,,,,,,78.6000000000001,19.0,0.24173027989821855,,,0.0,0.0,47.0,0.5979643765903301,0.013128374287509353,0.14893617021276595,0.0,0,7,7,59,38,,37,47,6.600000000000003,0.08396946564885491,6.000000000000003,0.07633587786259537,33,30,42
20,C,reachability,0.15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,C,all_agents,,,40,30,10,0,30,0,0.26414828683322683,0.2090692897584489,0.724907799561433,0.02477113800937978,118,30,0.75,0,0.0,0.0,31.225,683,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,C,participants_only,,,30,30,0,0,30,0,0.2909800800025604,0.22849334945559827,0.724907799561433,0.027756293186492146,118,30,1.0,0,0.0,0.0,24.966666666666665,683,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,C,nonparticipants_only,,,10,0,10,0,0,0,0.18365290732522613,0.1391789838016604,0.416217121842862,0.007176330981859934,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,C,step_totals,,,,,,,,,,,,,,,,,,,,,85.00000000000009,19.0,0.22352941176470567,,,0.0,0.0,55.0,0.6470588235294111,0.013329647028294275,0.10909090909090909,0.0,0,6,15,25,38,,35,55,5.000000000000002,0.05882352941176467,6.000000000000003,0.0705882352941176,25,30,35
22,C,all_agents,,,40,30,10,0,29,1,0.26764211119089454,0.20994488493313535,0.7359114875789757,0.02591129449762422,123,30,0.75,0,0.0,0.0,31.425,718,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,C,participants_only,,,30,30,0,0,29,1,0.2954284104588013,0.22972480027386388,0.7359114875789757,0.029131622895406432,123,30,1.0,0,0.0,0.0,25.233333333333334,718,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,C,nonparticipants_only,,,10,0,10,0,0,0,0.1842832133871744,0.1418769516947121,0.4141360362336477,0.0069853681802095075,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,C,step_totals,,,,,,,,,,,,,,,,,,,,,78.10000000000008,18.5,0.2368758002560817,,,0.0,0.0,47.0,0.601792573623559,0.012968339849892629,0.10638297872340426,0.0,0,5,7,59,37,,37,47,6.600000000000003,0.08450704225352108,6.000000000000003,0.07682458386683734,33,30,42
