step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
20,B,participants_only,,,30,30,0,0,29,1,0.28406328268669745,0.223832281852358,0.707650619882812,0.02652563219442377,155,30,1.0,56,3.5357142857142856,1.4821428571428572,25.3,636,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,B,nonparticipants_only,,,10,0,10,0,0,0,0.18301683135415486,0.13879212935786026,0.4183086651687056,0.007377117575938548,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,B,step_totals,,,,,,,,,,,,,,,,,,,,,77.70000000000009,18.5,0.23809523809523783,,,0.0,0.0,47.0,0.6048906048906042,0.014564319610379446,0.10638297872340426,0.0,0,5,9,56,37,,35,47,6.200000000000003,0.07979407979407974,6.000000000000003,0.07722007722007716,31,30,38
20,B,reachability,0.15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B,all_agents,,,40,30,10,0,29,1,0.2630532687230939,0.20585581716878698,0.7193445950874995,0.024889551177397558,161,30,0.75,56,3.5357142857142856,1.4821428571428572,31.275,675,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B,participants_only,,,30,30,0,0,29,1,0.2895200558557165,0.22801079109854405,0.7193445950874995,0.027991994624749203,161,30,1.0,56,3.5357142857142856,1.4821428571428572,25.033333333333335,675,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B,nonparticipants_only,,,10,0,10,0,0,0,0.18365290732522613,0.1391789838016604,0.416217121842862,0.007176330981859934,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B,step_totals,,,,,,,,,,,,,,,,,,,,,85.5000000000001,19.5,0.22807017543859623,,,0.0,0.0,55.0,0.6432748538011689,0.01374806582343487,0.10909090909090909,0.0,0,6,15,32,39,,36,55,5.000000000000002,0.058479532163742645,6.000000000000003,0.07017543859649118,25,30,37
22,B,all_agents,,,40,30,10,0,28,2,0.2668795298583901,0.20930658458118098,0.7305708112839995,0.026132040711877278,165,30,0.75,56,3.5357142857142856,1.4821428571428572,31.45,715,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,B,participants_only,,,30,30,0,0,28,2,0.2944116353487952,0.22916529780893236,0.7305708112839995,0.029482197558160665,165,30,1.0,56,3.5357142857142856,1.4821428571428572,25.266666666666666,715,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,B,nonparticipants_only,,,10,0,10,0,0,0,0.1842832133871744,0.1418769516947121,0.4141360362336477,0.0069853681802095075,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,B,step_totals,,,,,,,,,,,,,,,,,,,,,77.0000000000001,18.0,0.23376623376623346,,,0.0,0.0,47.0,0.6103896103896096,0.014165666879253977,0.0851063829787234,0.0,0,4,10,56,36,,35,47,6.000000000000003,0.07792207792207785,6.000000000000003,0.07792207792207785,30,30,37
23,B,all_agents,,,40,30,10,0,28,2,0.2707794083128124,0.21120436167215456,0.7413479788326395,0.027271069617196927,166,30,0.75,56,3.5357142857142856,1.4821428571428572,31.25,751,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,B,participants_only,,,30,30,0,0,28,2,0.29940288737428417,0.23264431244982242,0.7413479788326395,0.030817671247393114,166,30,1.0,56,3.5357142857142856,1.4821428571428572,25.0,751,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,B,nonparticipants_only,,,10,0,10,0,0,0,0.18490897112839705,0.14323917459822083,0.41206535605247946,0.006799622083618205,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,B,step_totals,,,,,,,,,,,,,,,,,,,,,85.50000000000009,19.5,0.22807017543859626,,,0.0,0.0,55.0,0.643274853801169,0.012772930521647631,0.01818181818181818,0.0,0,1,15,32,39,,36,55,5.000000000000002,0.05847953216374265,6.000000000000003,0.07017543859649118,25,30,37
