step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
18,A,all_agents,,,40,27,10,3,27,0,0.2591410267948712,0.1922335559006339,0.7873889513811715,0.02414797687555519,145,30,0.75,34,2.7058823529411766,1.2352941176470589,31.225,637,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,participants_only,,,30,27,0,3,27,0,0.28853246634341506,0.2177358656402259,0.7873889513811715,0.02615030220427086,145,30,1.0,34,2.7058823529411766,1.2352941176470589,24.966666666666665,637,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,nonparticipants_only,,,10,0,10,0,0,0,0.1709667081492397,0.14151750497350662,0.4659830963680722,0.007774720264579681,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,step_totals,,,,,,,,,,,,,,,,,,,,,79.40000000000008,,,17.0,0.2141057934508814,0.0,0.0,51.0,0.6423173803526442,0.014393246245972128,0.11764705882352941,0.0,0,6,13,39,,34,32,51,5.400000000000002,0.0680100755667506,6.000000000000003,0.07556675062972289,27,30,37
19,A,all_agents,,,40,28,10,2,28,0,0.26340652819412297,0.19362470978743362,0.7958933933259247,0.025332540305119527,151,30,0.75,34,2.7058823529411766,1.2352941176470589,31.175,676,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,participants_only,,,30,28,0,2,28,0,0.2939811119314238,0.22328656770691602,0.7958933933259247,0.02752650038973637,151,30,1.0,34,2.7058823529411766,1.2352941176470589,24.9,676,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,nonparticipants_only,,,10,0,10,0,0,0,0.17168277698222037,0.14438979233090965,0.46365318088623186,0.007532998002758336,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,step_totals,,,,,,,,,,,,,,,,,,,,,84.20000000000007,,,19.0,0.22565320665083116,0.0,0.0,54.0,0.6413301662707833,0.014085425366602587,0.1111111111111111,0.0,0,6,14,26,,38,36,54,5.200000000000002,0.06175771971496434,6.000000000000003,0.0712589073634204,26,30,45
20,A,all_agents,,,40,28,10,2,28,0,0.2671520676985851,0.19583389890324138,0.8040576575928877,0.026482086414318363,159,30,0.75,34,2.7058823529411766,1.2352941176470589,31.225,713,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A,participants_only,,,30,28,0,2,28,0,0.2987385751446665,0.22217013486838144,0.8040576575928877,0.028884698806304794,159,30,1.0,34,2.7058823529411766,1.2352941176470589,24.966666666666665,713,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A,nonparticipants_only,,,10,0,10,0,0,0,0.17239254536034102,0.14658084803649551,0.4613349149818007,0.007301759806662818,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A,step_totals,,,,,,,,,,,,,,,,,,,,,79.10000000000008,,,16.5,0.20859671302149158,0.0,0.0,51.0,0.6447534766118831,0.013570092606232795,0.1568627450980392,0.0,0,8,12,38,,33,32,51,5.600000000000002,0.07079646017699111,6.000000000000003,0.07585335018963334,28,30,36
20,A,reachability,0.15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,all_agents,,,40,28,10,2,28,0,0.2711993538238302,0.19810193173027452,0.8118953512891722,0.027654026079253453,168,30,0.75,34,2.7058823529411766,1.2352941176470589,31.15,752,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,participants_only,,,30,28,0,2,28,0,0.303900148127602,0.2289285377096089,0.8118953512891722,0.030235491468537157,168,30,1.0,34,2.7058823529411766,1.2352941176470589,24.866666666666667,752,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,nonparticipants_only,,,10,0,10,0,0,0,0.17309697091251466,0.14687138915994807,0.45902824040689166,0.0070775265342311764,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.50000000000009,,,18.5,0.22155688622754469,0.0,0.0,54.0,0.6467065868263466,0.013618606701462947,0.16666666666666666,0.0,0,9,15,26,,37,36,54,5.000000000000002,0.05988023952095804,6.000000000000003,0.07185628742514966,25,30,45
22,A,all_agents,,,40,29,10,1,29,0,0.2751960898417858,0.1987683685830705,0.8194195372376053,0.028928297940276557,173,30,0.75,34,2.7058823529411766,1.2352941176470589,31.225,795,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,participants_only,,,30,29,0,1,29,0,0.30899595658815954,0.22778389502106083,0.8194195372376053,0.03171511756185664,173,30,1.0,34,2.7058823529411766,1.2352941176470589,24.966666666666665,795,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,nonparticipants_only,,,10,0,10,0,0,0,0.17379648960266444,0.14818351292477727,0.4567330992048572,0.006858667170664826,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,step_totals,,,,,,,,,,,,,,,,,,,,,78.90000000000009,,,16.5,0.20912547528517086,0.0,0.0,51.0,0.6463878326996191,0.014396523253229059,0.09803921568627451,0.0,0,5,13,37,,33,31,51,5.400000000000002,0.06844106463878322,6.000000000000003,0.0760456273764258,27,30,35
23,A,all_agents,,,40,29,10,1,29,0,0.27928924249620185,0.2016175558101686,0.8266427557481011,0.03013220538304448,181,30,0.75,34,2.7058823529411766,1.2352941176470589,31.15,837,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A,participants_only,,,30,29,0,1,29,0,0.31422262043621413,0.22877472904642004,0.8266427557481011,0.03307733956453446,181,30,1.0,34,2.7058823529411766,1.2352941176470589,24.866666666666667,837,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A,nonparticipants_only,,,10,0,10,0,0,0,0.17448910867616493,0.15227603088354125,0.45444943370883295,0.006652712106977681,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.70000000000009,,,18.5,0.221027479091995,0.0,0.0,54.0,0.64516129032258,0.013734693954361091,0.14814814814814814,0.0,0,8,14,26,,37,36,54,5.200000000000002,0.06212664277180402,6.000000000000003,0.07168458781362003,26,30,45
