step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
20,A,step_totals,,,,,,,,,,,,,,,,,,,,,78.3000000000001,18.5,0.23627075351213253,,,0.0,0.0,47.0,0.600255427841634,0.013087589816478925,0.10638297872340426,0.0,0,5,6,56,37,,36,47,6.800000000000003,0.08684546615581092,6.000000000000003,0.0766283524904214,34,30,45
20,A,reachability,0.15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,all_agents,,,40,30,10,0,30,0,0.2624596414463727,0.20709212921860076,0.756916473367232,0.025129823554388257,150,30,0.75,60,3.9,1.7666666666666666,31.0,672,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,participants_only,,,30,30,0,0,30,0,0.2862833393510385,0.22350419971426444,0.756916473367232,0.026971888281908094,150,30,1.0,60,3.9,1.7666666666666666,24.666666666666668,672,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,nonparticipants_only,,,10,0,10,0,0,0,0.1909885477323753,0.15780766348481282,0.6348843179558619,0.012792806389595417,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,step_totals,,,,,,,,,,,,,,,,,,,,,84.9000000000001,19.5,0.2296819787985863,,,0.0,0.0,53.0,0.6242638398115422,0.013345953810008488,0.07547169811320754,0.08064516129032266,1,4,8,38,39,,38,53,6.400000000000003,0.07538280329799758,6.000000000000003,0.07067137809187274,32,30,43
22,A,all_agents,,,40,30,10,0,30,0,0.2658037131107844,0.20836393267839642,0.7666398144325427,0.026211045394038884,153,30,0.75,60,3.9,1.7666666666666666,31.075,705,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,participants_only,,,30,30,0,0,30,0,0.29054266610409246,0.22633823184130442,0.7666398144325427,0.028332057870523918,153,30,1.0,60,3.9,1.7666666666666666,24.766666666666666,705,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,nonparticipants_only,,,10,0,10,0,0,0,0.19158685413086027,0.15907500060838348,0.6317098963660825,0.012503818422122517,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,step_totals,,,,,,,,,,,,,,,,,,,,,78.1000000000001,18.5,0.23687580025608165,,,0.0,0.0,47.0,0.6017925736235589,0.01251182335073575,0.06382978723404255,0.0,0,3,7,56,37,,36,47,6.600000000000003,0.08450704225352107,6.000000000000003,0.07682458386683733,33,30,45
23,A,all_agents,,,40,30,10,0,30,0,0.26941359851803887,0.21234392633668042,0.775974221855241,0.02728559716277172,159,30,0.75,60,3.9,1.7666666666666666,30.925,739,,,,,,,,,,,,,,,,,,,,,,,,,,,
